label,connectome_type,dataset,n_nodes,n_edges,density,sparsity,mean_weight,max_weight,Q,n_communities,in_degree_cv,out_degree_cv,total_degree_cv,reciprocity,n_reciprocal_pairs,fraction_in_nontrivial_scc,clustering_coefficient,n_triangles
neuropeptide_FLP-33_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-33_DMSR-1_RipollSanchez2023_midRange,302,210,0.0023101801940551363,0.9976898198059448,1.0,1.0,0.3288888888888889,214,1.7079512597462887,8.650754623473931,4.351800002907547,0.0,0,0.0,0.0,0
neuropeptide_FLP-4_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-4_DMSR-1_RipollSanchez2023_midRange,302,2264,0.024905942663527754,0.9750940573364723,1.0,1.0,0.24126284508484308,186,1.7273839934420663,2.582142632603821,1.5562225940966337,0.037102473498233215,42,0.039735099337748346,0.10942192192192192,11201
neuropeptide_FLP-9_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-9_DMSR-1_RipollSanchez2023_midRange,302,8601,0.09461838023365822,0.9053816197663418,1.0,1.0,0.1989052816421103,119,1.6278992250176358,1.1467952105163024,0.9974938993921318,0.13324032089291943,573,0.1390728476821192,0.3930135539202521,143295
neuropeptide_NLP-13_DMSR-2_RipollSanchez2023_midRange,neuropeptide,NLP-13_DMSR-2_RipollSanchez2023_midRange,302,3639,0.040032122505555434,0.9599678774944446,1.0,1.0,0.21777224702527595,164,2.1789090253061336,1.5964002638934995,1.2746747659662807,0.011541632316570486,21,0.023178807947019868,0.1360770739283223,18445
neuropeptide_FLP-14_DMSR-3_RipollSanchez2023_midRange,neuropeptide,FLP-14_DMSR-3_RipollSanchez2023_midRange,302,505,0.005555433323799257,0.9944445666762007,1.0,1.0,0.05175178904029013,257,3.7681794744038526,3.2091166332386316,2.537660654209299,0.011881188118811881,3,0.009933774834437087,0.14552899513058876,1196
neuropeptide_FLP-1_DMSR-5_RipollSanchez2023_midRange,neuropeptide,FLP-1_DMSR-5_RipollSanchez2023_midRange,302,116,0.0012760995357637896,0.9987239004642362,1.0,1.0,0.0,302,2.0510720493742136,12.24744871391589,6.1686079578727515,0.0,0,0.0,0.0,0
neuropeptide_FLP-1_DMSR-6_RipollSanchez2023_midRange,neuropeptide,FLP-1_DMSR-6_RipollSanchez2023_midRange,302,80,0.0008800686453543376,0.9991199313546456,1.0,1.0,0.0,302,2.559296778413945,12.247448713915889,6.21590701346151,0.0,0,0.0,0.0,0
neuropeptide_FLP-1_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-1_DMSR-7_RipollSanchez2023_midRange,302,202,0.0022221733295197024,0.9977778266704803,1.0,1.0,0.0,301,1.4054524323344937,12.247448713915887,6.183958997872156,0.009900990099009901,1,0.006622516556291391,0.009900990099009901,100
neuropeptide_FLP-11_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-11_DMSR-7_RipollSanchez2023_midRange,302,4441,0.04885481067523267,0.9511451893247673,1.0,1.0,0.11905287169499615,189,1.4584680268849208,2.174575765875273,1.5509829350021649,0.3355100202657059,745,0.1357615894039735,0.38088205061620195,60172
neuropeptide_FLP-13_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-13_DMSR-7_RipollSanchez2023_midRange,302,1303,0.014334118061208774,0.9856658819387912,1.0,1.0,0.0928596797401827,184,1.764177545153768,3.8890900131231527,2.0545134341340265,0.0,0,0.0,0.013251259093452714,1184
neuropeptide_FLP-16_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-16_DMSR-7_RipollSanchez2023_midRange,302,6176,0.06794129942135486,0.9320587005786451,1.0,1.0,0.16816747597250928,145,1.5155825481689775,1.6884667823311097,1.183958528314954,0.10492227979274611,324,0.09271523178807947,0.2606601416076635,84870
neuropeptide_FLP-23_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-23_DMSR-7_RipollSanchez2023_midRange,302,202,0.0022221733295197024,0.9977778266704803,1.0,1.0,0.0,301,1.4054524323344937,12.247448713915892,6.183958997872154,0.009900990099009901,1,0.006622516556291391,0.009900990099009901,100
neuropeptide_FLP-27_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-27_DMSR-7_RipollSanchez2023_midRange,302,2927,0.03219951156190183,0.9678004884380982,1.0,1.0,0.17888842601935792,174,1.4874800272680087,2.7346169106674756,1.5282620045643496,0.02186539118551418,32,0.029801324503311258,0.08422634330305658,16863
neuropeptide_FLP-4_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-4_DMSR-7_RipollSanchez2023_midRange,302,2855,0.031407449781082925,0.9685925502189171,1.0,1.0,0.20338325548013902,164,1.5853917747023,2.5809592812959545,1.4276233602572215,0.005604203152364273,8,0.016556291390728478,0.04929729411649324,9280
neuropeptide_FLP-5_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-5_DMSR-7_RipollSanchez2023_midRange,302,6746,0.07421178851950452,0.9257882114804955,1.0,1.0,0.15126373270444593,127,1.5358793979541392,1.6161726059060677,1.0781233841103521,0.03498369404091314,118,0.052980132450331126,0.18084271230583202,78157
neuropeptide_FLP-7_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-7_DMSR-7_RipollSanchez2023_midRange,302,2925,0.03217750984576797,0.967822490154232,1.0,1.0,0.15523401271093581,174,1.4670082283132506,2.7747411462450606,1.6062929427858683,0.037606837606837605,55,0.03642384105960265,0.11573902973858624,21844
neuropeptide_FLP-9_DMSR-7_RipollSanchez2023_midRange,neuropeptide,FLP-9_DMSR-7_RipollSanchez2023_midRange,302,11162,0.12279157774306396,0.8772084222569361,1.0,1.0,0.13813187491630557,112,1.4530027055077164,1.1188829183448386,0.9649110828093523,0.19315534850385235,1078,0.16556291390728478,0.45828775630270413,244940
neuropeptide_FLP-12_DMSR-8_RipollSanchez2023_midRange,neuropeptide,FLP-12_DMSR-8_RipollSanchez2023_midRange,302,835,0.0091857164858859,0.990814283514114,1.0,1.0,0.08441464376635953,244,2.3463620859081193,3.77522966117105,2.455155541693729,0.08622754491017964,36,0.029801324503311258,0.18668916167316307,4472
neuropeptide_FLP-10_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-10_EGL-6_RipollSanchez2023_midRange,302,136,0.001496116697102374,0.9985038833028976,1.0,1.0,0.23875432525951562,277,4.727455148378542,5.018951971550789,3.5394388813985347,0.014705882352941176,1,0.006622516556291391,0.09400544959128065,121
