SAAVL,acr-15,glr-4,acc-1,lgc-47,glr-5,,,,,,,,
SAAVR,acr-15,glr-4,acc-1,lgc-47,glr-5,,,,,,,,
SABD,,exp-1,glr-4,glr-5,gab-1,lgc-37,lgc-36,,,,,,
SABVL,glr-4,glr-5,lgc-36,gab-1,lgc-37,,,,,,,,
SABVR,glr-4,glr-5,lgc-36,gab-1,lgc-37,,,,,,,,
SDQL,acr-2,ggr-2,,,,,,,,,,,
SDQR,acr-2,gab-1,lgc-37,ggr-2,,,,,,,,,
SIADL,ggr-2,acr-15,gab-1,lgc-37,lgc-38,lgc-47,ggr-3,,,,,,
SIADR,ggr-2,acr-15,gab-1,lgc-37,lgc-38,lgc-47,ggr-3,,,,,,
SIAVL,ggr-2,acr-15,gab-1,lgc-37,lgc-38,lgc-47,,,,,,,
SIAVR,ggr-2,acr-15,gab-1,lgc-37,lgc-38,lgc-47,,,,,,,
SIBDL,glr-5,acr-15,acr-16,glr-4,lgc-47,exp-1,,,,,,,
SIBDR,glr-5,acr-15,acr-16,glr-4,lgc-47,exp-1,,,,,,,
SIBVL,glr-5,acr-15,acr-16,glr-4,lgc-47,exp-1,,,,,,,
SIBVR,glr-5,acr-15,acr-16,glr-4,lgc-47,exp-1,,,,,,,
SMBDL,lgc-47,,,,,,,,,,,,
SMBDR,lgc-47,,,,,,,,,,,,
SMBVL,lgc-47,,,,,,,,,,,,
SMBVR,lgc-47,,,,,,,,,,,,
SMDDL,ggr-2,acr-15,acr-16,glr-1,glr-4,glr-5,acc-1,lgc-38,gab-1,lgc-37,lgc-47,ggr-3,
SMDDR,ggr-2,acr-15,acr-16,glr-1,glr-4,glr-5,acc-1,lgc-38,gab-1,lgc-37,lgc-47,ggr-3,
SMDVL,ggr-2,ggr-1,acr-15,acr-16,glr-1,glr-4,glr-5,acc-1,lgc-38,gab-1,lgc-37,lgc-47,
