neuronID,gab-1,lgc-37,lgc-38,lgc-36,exp-1,lgc-35,unc-49,gbb-1,gbb-2,ggr-1,ggr-2,ggr-3
RMDDL,0,0,0,0,0,0,0,1,1,0,0,0
RMDDR,0,0,0,0,0,0,0,1,1,0,0,0
RMDL,1,1,0,0,0,0,0,1,1,0,0,0
RMDR,1,1,0,0,0,0,0,1,1,0,0,0
RMDVL,0,0,0,0,0,0,0,1,1,0,0,0
RMDVR,0,0,0,0,0,0,0,1,1,0,0,0
RMED,0,0,0,0,0,0,0,1,0,0,0,0
RMEV,0,0,0,0,0,0,0,1,0,0,0,0
RMEL,0,0,0,0,0,0,0,1,0,0,0,0
RMER,0,0,0,0,0,0,0,1,0,0,0,0
RMFL,0,0,1,0,0,0,0,1,1,0,0,0
RMFR,0,0,1,0,0,0,0,1,1,0,0,0
RMGL,0,0,0,0,0,0,0,1,1,0,0,0
RMGR,0,0,0,0,0,0,0,1,1,0,0,0
RMHL,0,0,0,0,0,0,0,1,1,0,0,0
RMHR,0,0,0,0,0,0,0,1,1,0,0,0
SAADL,0,0,0,0,0,0,0,1,1,0,0,0
SAADR,0,0,0,0,0,0,0,1,1,0,0,0
SAAVL,0,0,0,0,0,0,0,1,1,0,0,0
SAAVR,0,0,0,0,0,0,0,1,1,0,0,0
SABD,0,0,0,0,1,1,0,1,1,0,0,0
SABVL,1,1,0,1,0,0,0,1,0,0,0,0
SABVR,1,1,0,1,0,0,0,1,0,0,0,0
SDQL,0,0,0,0,0,0,0,1,1,0,0,0
SDQR,1,1,0,0,0,0,0,1,1,0,0,0
SIADL,1,1,0,0,0,0,0,1,0,0,0,1
SIADR,1,1,0,0,0,0,0,1,0,0,0,1
SIAVL,1,1,0,0,0,0,0,1,0,0,1,0
SIAVR,1,1,0,0,0,0,0,1,0,0,1,0
SIBDL,0,0,0,0,0,0,0,1,0,0,0,0
SIBDR,0,0,0,0,0,0,0,1,0,0,0,0
SIBVL,0,0,0,0,0,0,0,1,0,0,0,0
SIBVR,0,0,0,0,0,0,0,1,0,0,0,0
SMBDL,0,0,0,0,0,0,0,1,0,0,0,0
SMBDR,0,0,0,0,0,0,0,1,0,0,0,0
SMBVL,0,0,0,0,0,0,0,1,0,0,0,0
SMBVR,0,0,0,0,0,0,0,1,0,0,0,0
SMDDL,1,1,1,0,0,0,0,1,1,0,1,1
SMDDR,1,1,1,0,0,0,0,1,1,0,1,1
SMDVL,1,1,1,0,0,0,0,1,1,1,1,0
SMDVR,1,1,1,0,0,0,0,1,1,1,1,0
URADL,0,0,1,0,0,0,0,1,1,0,0,0
URADR,0,0,1,0,0,0,0,1,1,0,0,0
URAVL,0,0,1,0,0,0,0,1,1,0,0,0
URAVR,0,0,1,0,0,0,0,1,1,0,0,0
URBL,0,0,1,0,0,0,0,1,0,0,0,0
URBR,0,0,1,0,0,0,0,1,0,0,0,0
URXL,0,0,1,0,0,0,0,1,1,0,0,0
URXR,0,0,1,0,0,0,0,1,1,0,0,0
URYDL,0,0,0,0,0,0,0,1,1,0,0,0
URYDR,0,0,0,0,0,0,0,1,1,0,0,0
URYVL,0,0,0,0,0,0,0,1,1,0,0,0
URYVR,0,0,0,0,0,0,0,1,1,0,0,0
VA01,1,1,1,1,0,1,0,1,0,0,0,0
VA02,1,1,1,1,0,1,0,1,0,0,0,0
VA03,1,1,1,1,0,1,0,1,0,0,0,0
VA04,1,1,1,1,0,1,0,1,0,0,0,0
VA05,1,1,1,1,0,1,0,1,0,0,0,0
VA06,1,1,1,1,0,1,0,1,0,0,0,0
VA07,1,1,1,1,0,1,0,1,0,0,0,0
VA08,1,1,1,1,0,1,0,1,0,0,0,0
VA09,1,1,1,1,0,1,0,1,0,0,0,0
VA10,1,1,1,1,0,1,0,1,0,0,0,0
VA11,1,1,1,1,0,1,0,1,0,0,0,0
VA12,1,1,1,1,0,1,0,1,0,0,0,0
VB01,1,1,1,1,0,1,0,1,0,0,0,0
VB02,1,1,1,1,0,1,0,1,0,0,0,0
VB03,1,1,1,1,0,1,0,1,0,0,0,0
VB04,1,1,1,1,0,1,0,1,0,0,0,0
VB05,1,1,1,1,0,1,0,1,0,0,0,0
VB06,1,1,1,1,0,1,0,1,0,0,0,0
VB07,1,1,1,1,0,1,0,1,0,0,0,0
VB08,1,1,1,1,0,1,0,1,0,0,0,0
VB09,1,1,1,1,0,1,0,1,0,0,0,0
VB10,1,1,1,1,0,1,0,1,0,0,0,0
VB11,1,1,1,1,0,1,0,1,0,0,0,0
VC01,1,1,0,0,0,0,0,1,1,0,0,0
VC02,1,1,0,0,0,0,0,1,1,0,0,0
VC03,1,1,0,0,0,0,0,1,1,0,0,0
VC04,1,1,0,0,0,0,0,1,0,0,0,0
